Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.776385108880754,0.0891039073776518,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.771399653690407,0.0885110133833615,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b0160,b2407,b1982,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b0261,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.522553308091999,0.521226022685821,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b2239,b2406,b0112,b3453,b0114,b2366,b2492,b0904,b1533,b3825,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.574043550075612,0.0658585048526547,b3399,b2502,b2744,b3708,b3008,b0871,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b0675,b2361,b2291,b0261,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.520248809754731,0.51937919652699,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b2797,b3117,b1814,b4471,b3665,b2406,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.522553308092013,0.521226022681457,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b0261,b4381,b2239,b2406,b0112,b2868,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.52255330809204,0.521226022688627,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3449,b3665,b0261,b4381,b2239,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.520250784979892,0.519367191037226,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b2797,b3117,b1814,b4471,b3665,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.776279959908351,0.0895261683165706,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b3665,b0261,b0411,b4381,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.776385108880771,0.089103907378284,b4384,b2744,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b2361,b2291,b0261,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.771398353851296,0.0885315891415791,b2836,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.629471934085754,0.0722176573880577,b2836,b3399,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b3447,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.728690148130801,0.0138707666705184,b4382,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2925,b2097,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b2406,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b0594,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.771251944500807,0.0890038883582523,b2836,b4384,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b3665,b4381,b2406,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b1517,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.520363663298142,0.519013978723156,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0261,b0507,b2406,b0112,b0452,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.520248809754714,0.519379196527569,b2836,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1238,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.520283964682316,0.519336596952345,b2836,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0160,b2797,b3117,b1814,b4471,b3665,b4374,b0675,b2361,b2291,b0261,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.520285940174445,0.519324590507719,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b2407,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0452,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.520355571046474,0.519005907459439,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0112,b0452,b2868,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.514531201736563,0.513196644976631,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b2943,b0452,b0114,b1539,b2492,b0904,b1533,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.776235562566584,0.0895790070192008,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b0411,b4381,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b1511,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.776279959908349,0.0895261683165288,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b2797,b3117,b1814,b4471,b0261,b2406,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.723651178477382,0.0407543172943707,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b0583,b2797,b3117,b1814,b4471,b3665,b2406,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.522448550665841,0.521589296949676,b1241,b0351,b4069,b3708,b2297,b2458,b3617,b0030,b2407,b1238,b2883,b2797,b3117,b1814,b4471,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3821,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.52256146884434,0.521234162713522,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.520248809754748,0.519379196527905,b2836,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b2797,b3117,b1814,b4471,b3665,b4374,b0675,b2361,b2291,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1517,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.520248809754728,0.519379196527137,b2836,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b0030,b2407,b2797,b3117,b1814,b4471,b3665,b4374,b2361,b2291,b0411,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.520285940174427,0.519324590507473,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2407,b1238,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b0261,b4381,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.461106184704759,0.459922586604373,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b0511,b0114,b2366,b2492,b0904,b1533,b0516,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.461110358130397,0.45908300951137,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b2366,b2492,b0904,b1533,b0516,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.71940132168736,0.0648441237965602,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2342,b3845,b4381,b2406,b0452,b0114,b1539,b2492,b0904,b2947,b3035,b2578,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.723824891263639,0.040647009594693,b0586,b4069,b4384,b2744,b3708,b3008,b3115,b1849,b2296,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b3447,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.522448550665836,0.521589296948504,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b0160,b1238,b2797,b3117,b1814,b4471,b3616,b3589,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3821,b1517,,,,,,,,,,,,,,,,,,,,,,,,
33,0.52244763511211,0.521588382904007,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b2797,b3117,b1814,b4471,b2440,b3665,b4374,b0675,b2361,b2291,b2239,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1518,,,,,,,,,,,,,,,,,,,,,,,,
33,0.522447635112066,0.521588382900098,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b2297,b2458,b1238,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3821,b1517,,,,,,,,,,,,,,,,,,,,,,,,
33,0.520249717618097,0.519380102873247,b2836,b4382,b1241,b0351,b4069,b3708,b3752,b2297,b2458,b2407,b2883,b2797,b3117,b1814,b4471,b3616,b3589,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,
33,0.629471934085775,0.0722176573915485,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b2925,b2097,b2407,b1779,b2690,b1982,b2688,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b3945,b2406,b0452,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b3662,,,,,,,,,,,,,,,,,,,,,,,,
33,0.522447635112097,0.521588382901608,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b2797,b3117,b1814,b4471,b3665,b4374,b2361,b2291,b0411,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3821,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,
33,0.462928486123288,0.46089314386585,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b0512,b2297,b2458,b2779,b2926,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,
34,0.522448550665812,0.521589296948183,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b2883,b2797,b3117,b1814,b4471,b2440,b4374,b2361,b2291,b0411,b4381,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b0494,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,
34,0.64355725812623,0.1624900988123,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b0261,b1701,b1805,b4381,b2406,b0114,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3447,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,
34,0.771255343735029,0.088983559575352,b2836,b3399,b2744,b3708,b3008,b0871,b0160,b1238,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b0411,b4381,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1511,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,
34,0.635769606054369,0.072965794229809,b4382,b4384,b3708,b3008,b3752,b0871,b2779,b2925,b2097,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b0261,b0822,b2913,b2406,b1727,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b1912,b0494,b3447,b3662,,,,,,,,,,,,,,,,,,,,,,,
35,0.522448550665816,0.521589296947603,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3617,b1238,b2797,b3117,b1814,b4471,b0675,b2361,b0411,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,
36,0.522553308092047,0.52122602269289,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0112,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,
36,0.574043550075603,0.0658585048532418,b3399,b0238,b0125,b4384,b2744,b3708,b3008,b0871,b0030,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b1623,b4374,b2361,b2291,b0261,b0411,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b2835,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,
36,0.520359132820776,0.519009459989726,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b0030,b1238,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1623,b0261,b0507,b4381,b2406,b0112,b0452,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b0516,b3662,,,,,,,,,,,,,,,,,,,,,
37,0.728526596867104,0.0140798921237959,b0586,b4069,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b2297,b2458,b1238,b2883,b2797,b3117,b1814,b4471,b3946,b0825,b4381,b2406,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3662,b1518,,,,,,,,,,,,,,,,,,,,
38,0.602773766728834,0.355719102378188,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b3708,b3008,b0871,b3617,b2797,b3117,b1814,b4471,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3825,b4141,b1798,b1518,,,,,,,,,,,,,,,,,,,
38,0.59457247187211,0.150122057533619,b3831,b4069,b4384,b3708,b3008,b3752,b3115,b1849,b2296,b3617,b2407,b3962,b1982,b4139,b2797,b3117,b1814,b4471,b4267,b0261,b1701,b1805,b2799,b4381,b2406,b0114,b0886,b0509,b3125,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b4266,b3662,,,,,,,,,,,,,,,,,,,
38,0.626370993522693,0.0908035758451162,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b0871,b2925,b2097,b3617,b2883,b2690,b2797,b3117,b1814,b4471,b3945,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3662,b1518,,,,,,,,,,,,,,,,,,,
39,0.715464389294559,0.0497047489041608,b0586,b3831,b4069,b4384,b3708,b3008,b0910,b3752,b3115,b1849,b2296,b2925,b2097,b2407,b2690,b2797,b3117,b1814,b4471,b3945,b4381,b2406,b2943,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3662,b1518,,,,,,,,,,,,,,,,,,
42,0.76987899698413,0.0888144215733315,b3500,b2836,b0474,b2518,b2502,b2744,b3708,b3008,b0871,b2781,b0099,b2235,b2883,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0411,b3453,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2954,b2578,b1533,b3927,b2240,b1511,b4141,b1798,b3662,,,,,,,,,,,,,,,
44,0.409134593753413,0.227969577436979,b4467,b2836,b1478,b3399,b4382,b1241,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b2797,b3117,b1814,b4471,b1623,b0261,b2799,b3945,b1602,b2913,b2406,b1539,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1011,,,,,,,,,,,,,
44,0.389404917970901,0.0293040099804742,b4467,b4382,b1241,b0351,b4069,b4384,b3708,b3926,b2297,b2458,b3617,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0261,b1602,b2406,b3915,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3821,b1380,b2660,b1771,b4141,b1798,b3662,b0606,b2285,b4209,,,,,,,,,,,,,
45,0.40823561867318,0.220336438935497,b3553,b1478,b3399,b4382,b1241,b4069,b2744,b3708,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b0153,b2913,b4381,b2406,b0452,b1539,b2492,b0904,b3035,b1533,b1380,b4141,b1798,b0606,b2285,b1009,,,,,,,,,,,,
46,0.424529988474612,0.215272223162484,b4467,b1478,b3399,b4382,b1241,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2799,b3945,b1602,b0153,b2406,b1539,b2492,b0904,b0591,b1533,b2835,b1380,b0494,b2660,b4141,b1798,b0606,b2285,b1007,,,,,,,,,,,
46,0.420155936217486,0.213054212703096,b4467,b1478,b3399,b4382,b1241,b4069,b4384,b2744,b3708,b2297,b2458,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b2797,b3117,b1814,b4471,b2440,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b2239,b2406,b1539,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1009,,,,,,,,,,,
46,0.426167034763393,0.208668284858706,b4467,b1478,b3399,b4382,b1241,b4069,b2744,b3708,b2297,b2458,b2779,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b3449,b0675,b2361,b0261,b2799,b3945,b1602,b0153,b4381,b2406,b2366,b2492,b0904,b3035,b1533,b1380,b0494,b2660,b4141,b1798,b0606,b2285,b1007,,,,,,,,,,,
46,0.472544419562005,0.0585759499558026,b4467,b4382,b4069,b4384,b3708,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b2797,b3117,b1814,b4471,b1623,b0261,b2799,b3945,b1602,b2406,b3915,b0452,b1727,b0114,b1539,b2492,b0904,b2954,b1533,b3029,b1380,b2660,b0515,b4141,b1798,b3662,b2285,b1008,,,,,,,,,,,
47,0.311890687031568,0.114523862615007,b4467,b2836,b1241,b0351,b4069,b4384,b3708,b2930,b4232,b3697,b3925,b2297,b2458,b2779,b3617,b0030,b2407,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b1602,b2913,b4381,b2406,b1727,b0114,b2366,b2492,b0904,b1533,b1380,b1771,b3662,b0606,b2285,b4209,,,,,,,,,,
48,0.414237523130069,0.23076516573687,b4467,b2836,b1478,b4382,b1241,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b3665,b0411,b2799,b3945,b1602,b2342,b3845,b2913,b2406,b3915,b3654,b3714,b3664,b1539,b2492,b0904,b1533,b1380,b1511,b4141,b1798,b0606,b2285,b1010,b4209,,,,,,,,,
48,0.461289315741054,0.124761980500522,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2502,b2744,b3708,b3008,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0121,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3915,b0452,b2366,b2492,b0904,b1533,b1380,b2660,b4141,b1798,b0606,b2285,b1010,,,,,,,,,
49,0.389329365206188,0.0296142165003515,b4467,b1241,b0351,b4069,b4384,b3708,b3752,b3926,b3115,b1849,b2296,b3617,b2407,b1238,b1004,b3713,b1109,b0046,b3236,b1779,b2797,b3117,b1814,b4471,b2440,b3665,b3945,b1602,b2913,b4381,b2406,b3915,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1380,b0494,b4141,b1798,b3662,b1517,b0606,b2285,b4209,,,,,,,,
50,0.293147980440333,0.0363633066614935,b3553,b1478,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b1238,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b2797,b3117,b1814,b4471,b3946,b0825,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b4381,b2406,b0452,b0114,b2366,b2492,b0904,b1533,b3029,b1380,b2660,b2285,,,,,,,
51,0.451649175250466,0.134776658606682,b3553,b3399,b4069,b4384,b2744,b3708,b2297,b2458,b0160,b1004,b3713,b1109,b0046,b3236,b1779,b2797,b3117,b1814,b4471,b1033,b3665,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3915,b3654,b3714,b3664,b1727,b0114,b2366,b2492,b0904,b1533,b3927,b3825,b1380,b0494,b2660,b1695,b4141,b1798,b0606,b2285,b1007,b4209,,,,,,
