Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803841785430239,0.0139699721619877,b3916,b3708,b3008,b1851,b1200,b2797,b3117,b1814,b4471,b0261,b4381,b2868,b2366,b1723,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.786980106277493,0.0319602805601278,b4384,b2744,b3708,b3008,b0871,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.786980106277538,0.0319602805602099,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3447,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.787019490487371,0.0319411397236951,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.784175328680183,0.0313992566031412,b4384,b2744,b3708,b3008,b0871,b0030,b2407,b3236,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.702588980796073,0.0285330477434231,b4384,b2744,b3708,b3008,b0910,b3752,b0871,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b2440,b4374,b2361,b2291,b0114,b2366,b2492,b0904,b1533,b3927,b0516,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.699798687541922,0.0283998231051328,b3399,b2502,b2744,b3708,b3008,b0871,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0505,b0452,b0114,b2366,b2492,b0904,b1533,b3927,b1518,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.703989523116694,0.0285899255781722,b4384,b2744,b3708,b3008,b3752,b0871,b2779,b2883,b1982,b2797,b3117,b1814,b4471,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3927,b3825,b0494,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.737944738689028,0.0721364823269823,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b2440,b4374,b0675,b2361,b2291,b0261,b2239,b0114,b1539,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.737944738689022,0.0721364823284318,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b0114,b2366,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.733335468137629,0.0716859112209534,b2836,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b4381,b0114,b2366,b2492,b0904,b1533,b3927,b0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.786980106277546,0.0319602805568024,b4384,b2744,b3708,b3008,b0871,b0030,b2883,b1982,b2688,b2797,b3117,b1814,b4471,b3449,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
