Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.649341207720662,1.24531728229814,b2066,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2407,b2498,b3616,b3589,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,
23,0.649341207720483,1.24531728229346,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b3616,b3589,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,
23,0.649341207720642,1.24531728229682,b1241,b0351,b3831,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b2407,b2498,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,
24,0.649341207720731,1.24531728229807,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b2883,b4374,b2361,b2291,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,
24,0.649341207720564,1.2453172822952,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b4374,b0675,b2361,b2291,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,
24,0.791805641598809,0.182569582871556,b2836,b4382,b4384,b2744,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,
25,0.649370983070394,1.24522892685231,b3399,b1241,b0351,b3831,b4069,b2744,b2297,b2458,b3617,b0160,b2883,b2498,b2361,b2291,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,
25,0.489397824429105,0.213339278420121,b4467,b4069,b3926,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b1602,b2913,b4381,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b1517,b0606,b2285,b4209,,,,,,,,,,,,,,,,,,,
25,0.680583054373142,0.0178081362007346,b4382,b0238,b0125,b1241,b0351,b3831,b4069,b2744,b0910,b2297,b2458,b3617,b2883,b0477,b2498,b0675,b2361,b2291,b2868,b4064,b4464,b0114,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,
25,0.797181583551614,0.183873386710475,b4382,b4384,b2744,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b0261,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3825,b0494,,,,,,,,,,,,,,,,,,,
26,0.489496232317376,0.213309078488414,b4467,b4069,b3926,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b0261,b1602,b2913,b4381,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,,,,,
26,0.777962983331653,0.158676960613862,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b3708,b3008,b0871,b0030,b2407,b2797,b3117,b1814,b4471,b2943,b2868,b4064,b4464,b0114,b2366,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,
26,0.498151614026708,0.138270449107299,b4467,b2066,b0238,b0125,b4069,b4384,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b1779,b0477,b2498,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b2285,,,,,,,,,,,,,,,,,,
27,0.753465904877062,0.392598100641804,b3399,b1241,b0351,b3831,b2502,b2744,b0871,b2925,b2097,b3617,b2883,b2498,b3946,b0825,b2361,b2291,b2943,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,
27,0.689414643120976,0.207132832023452,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0910,b2930,b4232,b3697,b3925,b0871,b2690,b3616,b3589,b0675,b0822,b4381,b2868,b1727,b4064,b4464,b0114,b2492,b0904,,,,,,,,,,,,,,,,,
27,0.577582518443138,0.184078725339596,b0474,b2518,b1241,b0351,b4069,b3708,b3115,b1849,b2296,b2407,b2797,b3117,b1814,b4471,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3927,b2285,,,,,,,,,,,,,,,,,
27,0.416551527038093,0.181521769727109,b4467,b4069,b3115,b1849,b2296,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b3945,b1602,b2913,b4381,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b0515,b2285,,,,,,,,,,,,,,,,,
