Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0118367182359027,0.00814742622309433,STM1749,STM2463,STM3680,STM2285,STM3526,STM1886,STM0169,STM0861,STM3866,STM1620,STM2167,STM0974,STM2472,STM0150,STM0568,STM0542,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0117117012556549,0.00803332526042233,STM1749,STM2463,STM2555,STM3680,STM2285,STM3526,STM1886,STM0169,STM0861,STM3866,STM1620,STM2167,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0118463593487924,0.00356158720738018,STM1749,STM2463,STM2555,STM2285,STM3526,STM1886,STM0169,STM0861,STM3866,STM1620,STM2167,STM0974,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM1937,STM2051,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129674528652116,0.00891160966482024,STM3646,STM4483,STM1749,STM2463,STM0441,STM3680,STM1886,STM3866,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM2472,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0129517121276519,0.00889018472123989,STM4482,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1885,STM1570,STM1620,STM4036,STM2167,STM2081,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,
28,0.0125139603040157,0.00859586436252642,STM4482,STM1749,STM2463,STM4275,STM0371,STM0737,STM0441,STM3866,STM1885,STM1620,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,,
29,0.0131224308740806,0.00901395523611932,STM0620,STM4483,STM1749,STM2463,STM0441,STM3680,STM2285,STM3526,STM1511,STM3866,STM1884,STM1620,STM2167,STM2081,STM2472,STM0150,STM0568,STM0542,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.0131224271841202,0.00901066553426055,STM0620,STM4482,STM1749,STM2463,STM0441,STM3680,STM2285,STM3526,STM1511,STM3866,STM1884,STM1620,STM2167,STM2081,STM2472,STM0150,STM0568,STM0542,STM1211,STM2317,STM0935,STM3179,STM2338,STM2466,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.0129673183427402,0.00889477640923886,STM3646,STM4482,STM1749,STM2463,STM4275,STM0371,STM0441,STM3866,STM1135,STM1570,STM4036,STM2167,STM3542,STM4485,STM2472,STM0785,STM0150,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0733,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.0129517121276519,0.00889018472123989,STM4482,STM1749,STM2463,STM0737,STM0441,STM3680,STM3866,STM1570,STM1620,STM4036,STM2167,STM3542,STM4485,STM2472,STM0785,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM3218,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.0127239928037995,0.00874138729819818,STM3646,STM0620,STM1597,STM1749,STM2463,STM0737,STM2654,STM0441,STM3680,STM0169,STM0861,STM4283,STM1511,STM3866,STM1135,STM2167,STM2472,STM0785,STM4184,STM0542,STM1211,STM2317,STM0935,STM2338,STM2466,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.01252859891017,0.00862198757634308,STM3646,STM4483,STM1597,STM1749,STM2463,STM4275,STM0371,STM0737,STM0441,STM3866,STM1885,STM1135,STM2167,STM2081,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,STM0054,STM3353,,,,,,
29,0.012349889508113,0.00858168736197823,STM2792,STM1749,STM0737,STM0441,STM3680,STM1886,STM0169,STM0861,STM3866,STM1620,STM2167,STM0974,STM2472,STM0150,STM4184,STM0568,STM1211,STM2317,STM0935,STM2338,STM2466,STM1937,STM0007,STM2473,STM1627,STM1567,STM2461,STM0054,STM3353,,,,,,
