STM0246,STM0245,STM0247,,,,,,,,,,
STM2443,STM2442,STM2441,,,,,,,,,,
STM2252,STM2253,STM2254,,,,,,,,,,
STM0782,STM0783,STM0781,,,,,,,,,,
STM1337,STM1338,,,,,,,,,,,
STM2077,STM2075,,,,,,,,,,,
STM3855,STM3856,STM3854,STM3857,,,,,,,,,
STM3390,STM3391,,,,,,,,,,,
STM2317,STM2327,STM2321,STM2328,STM2325,STM2322,STM2319,STM2320,STM2326,STM2324,STM2318,STM2323_S,STM2316_S
STM0110,STM0111,,,,,,,,,,,
STM1480,STM1479,,,,,,,,,,,
STM3823,STM3822,,,,,,,,,,,
STM2840,STM2841,,,,,,,,,,,
STM2259,STM2256,STM2255,,,,,,,,,,
STM2257,STM2258,,,,,,,,,,,
STM1727,STM1726,,,,,,,,,,,
STM1761,STM1763,STM1762,STM1764,,,,,,,,,
STM1577,STM1579,STM1578,STM1580,,,,,,,,,
STM0877,STM0879,STM0880,STM0878,,,,,,,,,
STM1226,STM1225,STM1222,STM1223,,,,,,,,,
STM3474,STM3475,,,,,,,,,,,
STM4279,STM4277,STM4280,STM4278_S,,,,,,,,,
STM3883,STM3881,STM3882,STM3884,,,,,,,,,
STM2278,STM2277,,,,,,,,,,,
STM2807,STM2808,,,,,,,,,,,
STM3671,STM3672,STM3673,,,,,,,,,,
STM1893,STM1891,STM1892_S,,,,,,,,,,
STM2934,STM2935,,,,,,,,,,,
STM2832,STM2833,STM2834,,,,,,,,,,
STM4159,STM4160,,,,,,,,,,,
STM0425,STM4162,STM2543,STM4161,,,,,,,,,
STM0426,STM0428,STM0427,STM0429,,,,,,,,,
STM3354,STM3355,,,,,,,,,,,
STM2041,STM2040,STM2043,STM2042,STM2044,,,,,,,,
STM3147,STM3150,,,,,,,,,,,
STM1539,STM1538,,,,,,,,,,,
STM1786,STM1787,STM1788,,,,,,,,,,
STM2020,STM2021,,,,,,,,,,,
STM2022,STM2023,,,,,,,,,,,
STM0733,STM0732,STM0735,STM0734,,,,,,,,,
STM0738,STM0739,,,,,,,,,,,
STM1498,STM1499,STM1497,STM1496,,,,,,,,,
STM0965,STM0966,STM0964,,,,,,,,,,
STM4306,STM4307,STM4305_S,,,,,,,,,,
STM2528,STM2529,STM2530,,,,,,,,,,
STM0108,STM0107,STM0106,,,,,,,,,,
STM2090,STM2093,,,,,,,,,,,
STM1793,STM1792,,,,,,,,,,,
STM0691,STM0690,,,,,,,,,,,
STM1314,STM1312,STM1313,,,,,,,,,,
STM0741,STM0740,,,,,,,,,,,
STM0054,STM0056,STM0055,,,,,,,,,,
STM3353,STM3351,STM3352,,,,,,,,,,
STM2786,STM2788,STM2787,,,,,,,,,,
STM1377,STM0666,,,,,,,,,,,
STM1257,STM1255,STM1259,STM1256,STM1258,,,,,,,,
STM3259,STM3258,STM3260,,,,,,,,,,
STM3255,STM3256,,,,,,,,,,,
STM2864,STM2861,STM2862,STM2863,,,,,,,,,
STM1383,STM1384,STM1385,,,,,,,,,,
STM2065,STM2064,STM2063,,,,,,,,,,
STM2549,STM2550,STM2548,,,,,,,,,,
