Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.351702588621745,0.194302784451933,STM2451,STM4340,STM3359,STM1566,STM2472,STM4301,STM3599,STM4325,STM0627,,,,,,,,,,,,,,,,,
18,0.290819285714,0.0871579582899104,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,,
19,0.290819285714,0.0871579582899075,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.290819285714002,0.0871579582899143,STM2927,STM2451,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,
19,0.290263025684639,0.0869912482716312,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.29418444198283,0.0783603408272631,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4568,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.293491991785,0.0781758965611385,STM3646,STM2421,STM2451,STM2285,STM1750,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
19,0.289583437939322,0.0771347959188882,STM3646,STM2927,STM2451,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM3968,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,,
19,0.289583437939322,0.0771347959190495,STM3646,STM2927,STM2451,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,,
19,0.289271063108544,0.0770515903012325,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1135,STM0974,STM1211,STM2317,STM3179,STM4569,STM4301,STM3599,STM4325,STM0627,,,,,,,
20,0.290819285714006,0.0871579582888469,STM2927,STM0413,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
20,0.286498130136015,0.0858629166054977,STM0051,STM2421,STM2451,STM0661,STM2285,STM4567,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM3968,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,,
20,0.286498130136015,0.0858629166054978,STM2927,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1620,STM0974,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,
20,0.285958262399221,0.0857011193245311,STM2421,STM2451,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,,
20,0.294184441982837,0.078360340827262,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1750,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,,,,
20,0.289763465187626,0.0771827488168716,STM3646,STM2927,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
20,0.289763465187626,0.0771827488168629,STM3646,STM2927,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM3334,STM4559_S,,,,,,
20,0.290263025684639,0.086991248271631,STM2927,STM2451,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4569,STM2332,STM0208,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
20,0.285958262399213,0.0857011193245155,STM2927,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM1211,STM2317,STM3179,STM4569,STM2332,STM0208,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,,
21,0.290819285714007,0.0871579582899154,STM0051,STM2421,STM2451,STM0661,STM2285,STM4567,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM3968,STM4301,STM3599,STM4325,STM0627,STM3334,,,,,
21,0.29026302568464,0.0869912482716267,STM2927,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4569,STM2332,STM0208,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,
21,0.294184441982837,0.0783603408272808,STM3646,STM2927,STM0413,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM2332,STM4301,STM3599,STM4325,STM0627,STM4559_S,,,,,
23,0.29418444198283,0.0783603408272524,STM3646,STM2421,STM2451,STM1469,STM0761,STM1468,STM4300,STM2285,STM4567,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM3968,STM3885,STM3793,STM4301,STM3599,STM4325,STM0627,STM3334,,,
26,0.180597524779089,0.0541247169812646,STM2927,STM4482,STM0413,STM2451,STM2555,STM2285,STM4567,STM3512,STM3541,STM1750,STM1620,STM0974,STM3359,STM1566,STM2472,STM0785,STM0542,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,STM0007,STM2473
