Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.650577700053969,0.275582978903416,b4069,b4384,b2744,b3708,b3008,b3752,b2297,b2458,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.563210692242083,0.445727570156431,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b0160,b1238,b3616,b3589,b0675,b2361,b0411,b4381,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.7252513215399,0.308134386288284,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b2688,b2797,b3117,b1814,b4471,b2440,b3665,b2406,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b0494,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.768228573371801,0.177309971572081,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b0583,b2797,b3117,b1814,b4471,b3665,b2406,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.684285924991808,0.157067797893665,b4384,b3708,b3008,b3752,b0871,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0452,b0114,b0886,b0755,b3612,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b1813,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.65043568114201,0.276347789259913,b4069,b4384,b3708,b3008,b3115,b1849,b2296,b2926,b0030,b2407,b2797,b3117,b1814,b4471,b1701,b1805,b4381,b2406,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.768280010756638,0.177207113695697,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b4381,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,
34,0.768230656822,0.177310452439499,b3399,b0586,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b1623,b3665,b4374,b2361,b2291,b0411,b4381,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b1511,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,
36,0.619560987458006,0.140485660366834,b4384,b3708,b3008,b3752,b2930,b4232,b3697,b3925,b0871,b2779,b2407,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0114,b0886,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b0494,b0594,b0516,b3662,b1813,,,,,,,,,,,,,,,,,,,,,,
37,0.452360536901169,0.191618717148594,b4467,b2836,b3399,b4069,b2744,b3708,b2297,b2458,b2926,b0160,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b1602,b4381,b1727,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,,
37,0.572072183567927,0.129671449092336,b2836,b4382,b4384,b3708,b3008,b2930,b4232,b3697,b3925,b0512,b0871,b2297,b2458,b2779,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b2406,b0114,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b1380,b3447,b3662,b1813,,,,,,,,,,,,,,,,,,,,,
40,0.619430866586462,0.142966915245572,b4384,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b0030,b2407,b1779,b2797,b3117,b1814,b4471,b3946,b0825,b2440,b3665,b4374,b2361,b2291,b0411,b3654,b3714,b3664,b0114,b0886,b0529,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b0494,b3662,b1517,,,,,,,,,,,,,,,,,,
