Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.709451348390976,0.560792290065805,b2779,b2925,b2097,b0907,b1779,b1525,b3946,b0825,b2661,b4014,b2976,b0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.708002349814656,0.584839611667197,b0871,b2779,b2925,b2097,b3236,b2690,b3945,b4381,b0114,b0529,b2492,b0904,b0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.762020567357557,0.0014874641849007,b1241,b0351,b0871,b3115,b1849,b2296,b0517,b3616,b3589,b0261,b4381,b2943,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.681228526970414,0.554236800199953,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b3617,b2407,b3124,b0517,b0261,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.425246180041754,4.7232879114871,b4382,b4069,b4384,b3115,b1849,b2296,b2779,b2925,b2097,b2407,b0907,b2690,b0675,b0822,b1727,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.493608126033741,0.473158558378372,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b3124,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.54510348051368,0.11443128847175,b3403,b1479,b2930,b4232,b3697,b3925,b1850,b3124,b1779,b2690,b2463,b1525,b2661,b0726,b3945,b0334,b0529,b0514,b2285,b3893,b1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.799732742392185,0.0984340776188804,b4382,b4384,b3708,b3008,b0871,b2925,b2097,b2407,b0517,b2690,b2797,b3117,b1814,b4471,b0726,b3945,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.681228526970396,0.554236800187114,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2407,b0517,b3616,b3589,b0261,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.562041725044822,0.539134449993652,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b0160,b0517,b1779,b3616,b3589,b4374,b2361,b2291,b4388,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.493608126033738,0.473158558370957,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.493608126033738,0.473158558379395,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b3124,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.424680383169584,0.407086405743021,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b4388,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.424678774549718,0.40703751206823,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b2926,b3617,b0030,b2407,b0907,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.495477987099716,0.468468614933823,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b3124,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.562064506434277,0.53909335159336,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b2779,b2926,b0160,b0517,b3616,b3589,b4374,b2361,b2291,b0261,b4388,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.493608126033766,0.473158558394433,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3124,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.42468038316966,0.40708640574783,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b4388,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.516254719943732,0.253990955063999,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2407,b3124,b1982,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.424680383169581,0.407086405726643,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b2926,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b2913,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.424678774549753,0.407037512073124,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b0907,b1779,b1982,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.424678774549524,0.40703751202563,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b0160,b0907,b1779,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.693827804855611,0.285825833354432,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b2744,b0871,b3617,b0517,b0477,b4374,b2361,b2291,b0114,b0509,b3125,b2492,b0904,b0508,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.516254719943742,0.253990955075417,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b2407,b3124,b1982,b3616,b3589,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.493608126033711,0.473158558378643,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b0261,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.424678774549683,0.407037512070622,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b2926,b0907,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.493608126033738,0.473158558371335,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b2407,b3124,b1982,b3616,b3589,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.522043928438381,0.424434634401696,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2407,b3124,b1982,b3616,b3589,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.424680383169577,0.407086405718874,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b2779,b2926,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b2913,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.4458242922086,0.362466183713335,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2779,b2926,b3617,b0030,b2407,b1982,b0261,b4388,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.779150306872102,0.293627529345081,b3708,b0871,b3115,b1849,b2296,b2925,b2097,b0030,b2407,b3236,b2690,b2797,b3117,b1814,b4471,b3945,b4381,b2868,b0114,b2366,b0529,b2492,b0904,b1533,b3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.516254719943749,0.253990955070654,b3553,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b1033,b0261,b0411,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.516254719943788,0.2539909550721,b3553,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b2407,b1982,b1033,b0675,b2361,b0261,b0112,b0114,b0509,b3125,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.516254719943761,0.253990955079621,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0030,b3124,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.516254719943735,0.25399095506475,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.522043928438353,0.424434634387683,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.493608126033738,0.47315855839406,b3553,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b1033,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.42618642443493,0.402954256647923,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b2779,b0160,b1779,b1982,b3616,b3589,b0675,b2361,b0261,b2913,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.522043928438367,0.424434634411952,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.522043928438362,0.424434634398669,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.522043928438369,0.424434634402542,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3124,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.412774753694414,0.395674011598661,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2779,b3617,b0030,b2883,b1779,b1982,b0261,b4388,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.445822112555141,0.362414702427397,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2779,b2926,b0030,b2407,b0907,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.516254719943736,0.253990955081188,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b1238,b3124,b2883,b1982,b3616,b3589,b0675,b2361,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.797276963313293,0.103249727594409,b3399,b2744,b3708,b3008,b0871,b2925,b2097,b0517,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0822,b4381,b1727,b0114,b2366,b2492,b0904,b1533,b3821,b1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.551246310221479,0.217718405203585,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2407,b3124,b1982,b3616,b3589,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.495413963156141,0.468408081042065,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b3124,b2883,b1982,b3616,b3589,b1623,b0261,b0411,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.445824292208655,0.3624661837335,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2779,b2926,b2407,b1982,b3616,b3589,b0261,b0411,b2913,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.495413963156217,0.468408081065987,b3399,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2883,b1982,b1623,b0261,b4381,b2406,b0112,b4064,b4464,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.518392320507628,0.204742502913837,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b0871,b2779,b3617,b2407,b1982,b0675,b2361,b0261,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.522043928438367,0.424434634411914,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b0030,b2407,b1982,b3616,b3589,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.406923192108249,0.197092230691538,b3553,b1478,b1241,b0351,b4069,b3115,b1849,b2296,b3617,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b2913,b4381,b0114,b0509,b3125,b0755,b3612,b0529,b2492,b0904,b1380,b1517,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.527102021367262,0.394498702309965,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.46983392227268,0.351637567530202,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2779,b0030,b2407,b1238,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.334750436362635,0.320882144223774,b1241,b0351,b4069,b4384,b2744,b2930,b4232,b3697,b3925,b2297,b2458,b2779,b3617,b0030,b2407,b2690,b1982,b4374,b2361,b2291,b0261,b0411,b3945,b0112,b0114,b0529,b2492,b0904,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.435872240337494,0.289954781989222,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2925,b2097,b0030,b2407,b1982,b3616,b3589,b3946,b0825,b3665,b0261,b2913,b2406,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.413359845824673,0.00934953292755647,b4382,b1241,b0351,b4069,b4384,b0910,b3752,b0871,b2297,b2458,b2925,b2097,b2926,b2407,b2690,b1982,b3616,b3589,b0261,b3945,b4388,b2406,b0112,b2943,b0114,b0529,b2492,b0904,b0516,b1695,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.334750436362599,0.32088214422818,b1478,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b2779,b2925,b2097,b3617,b2407,b2690,b1982,b4374,b0675,b2361,b2291,b0261,b0411,b0822,b0112,b0114,b0529,b2492,b0904,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.469833922272643,0.351637567535068,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b3124,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.757420210147835,0.0869273501916768,b4382,b0586,b4384,b3708,b3008,b0871,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2342,b3845,b2406,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1600,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.676634287550562,0.0773219884984476,b4382,b4384,b3708,b3008,b0871,b2779,b2926,b0030,b2407,b0120,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b3915,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0594,b4141,b1798,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,
35,0.754312702823836,0.0865707088519267,b4382,b0586,b2066,b4384,b3708,b3008,b0910,b3752,b0871,b2407,b3124,b0121,b1982,b2797,b3117,b1814,b4471,b2498,b2440,b0261,b2406,b3453,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b2240,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,
36,0.599626632303623,0.286651061209284,b3553,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b4384,b2779,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b1033,b1623,b1493,b3517,b4014,b2976,b3945,b1602,b3915,b0452,b0509,b3125,b1300,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,,
39,0.482167768975221,0.0582725464455429,b4467,b2836,b3399,b4269,b0493,b3588,b3003,b3011,b2744,b0871,b2779,b2926,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b0675,b2361,b0261,b1602,b2913,b4381,b2789,b3127,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b1380,b2285,,,,,,,,,,,,,,,,,,
40,0.467708652876463,1.15692382385529,b3553,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b0871,b2297,b2458,b2779,b2925,b2097,b2926,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b4139,b3946,b0825,b1033,b1493,b3517,b4014,b2976,b3945,b1602,b2789,b3127,b2492,b0904,b1380,b2660,b2285,,,,,,,,,,,,,,,,,
41,0.458801865901689,0.23427865222066,b3553,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b0937,b1982,b4139,b1033,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b3945,b1602,b4381,b0509,b3125,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b2285,b1010,,,,,,,,,,,,,,,,
42,0.468885489708571,0.0993093215355666,b4467,b4382,b4069,b4384,b3708,b3008,b3926,b2297,b2458,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b0261,b1602,b2406,b2975,b0114,b3603,b0509,b3125,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b1380,b0508,b0594,b2660,b3662,b2285,,,,,,,,,,,,,,,
43,0.479429086057243,0.0221695900001048,b4467,b4069,b4384,b3752,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3124,b3236,b1638,b1779,b1982,b0477,b4139,b0261,b2799,b3945,b1602,b4381,b2406,b2789,b3127,b3915,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b2954,b3927,b3029,b1380,b2660,b0514,b3662,b2285,b1010,,,,,,,,,,,,,,
44,0.417304554319531,0.156068599654308,b3553,b1478,b1241,b4069,b4384,b3752,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b2937,b3908,b1656,b1982,b4139,b1033,b1623,b4014,b0261,b2976,b2799,b3945,b1602,b4381,b2406,b3915,b0452,b0509,b3125,b0529,b2492,b0904,b2954,b1380,b2660,b3662,b2285,b1007,,,,,,,,,,,,,
44,0.392101381695591,0.083046549840169,b3553,b4382,b4069,b4384,b3708,b3926,b3115,b1849,b2296,b2925,b2097,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b1033,b0261,b1602,b2406,b0114,b0509,b3125,b2366,b0529,b2492,b0904,b1533,b3927,b3825,b1380,b0494,b2660,b3662,b2285,,,,,,,,,,,,,
45,0.449948724838638,0.179381443801954,b4467,b1478,b3399,b1241,b4069,b4384,b2744,b3752,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b1982,b4139,b1623,b4014,b0261,b2976,b0411,b2799,b3945,b1602,b0153,b2913,b4381,b2789,b3127,b2975,b3603,b0529,b2492,b0904,b2954,b3035,b3029,b1380,b2285,b1009,,,,,,,,,,,,
47,0.425393340601236,0.148778272222731,b4467,b1478,b4382,b1241,b4069,b4384,b3115,b1849,b2296,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3124,b3236,b1638,b0937,b1982,b4139,b1623,b4014,b0261,b2976,b2799,b3945,b1602,b2406,b2789,b3127,b2975,b3603,b1297,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b0514,b3662,b2285,b1011,,,,,,,,,,
48,0.445689776509809,0.0915724057201581,b4467,b4382,b4269,b0493,b3588,b3003,b3011,b4384,b0871,b2779,b2926,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b0907,b1982,b4139,b1623,b0261,b2799,b3945,b1602,b2342,b3845,b2406,b2789,b3127,b3915,b1727,b2975,b0114,b3603,b0529,b2492,b0904,b2954,b3927,b3029,b1380,b2660,b3662,b2285,b1011,,,,,,,,,
49,0.356392578431909,0.0256903214343851,b3553,b4069,b4384,b3752,b2297,b2458,b2779,b2925,b2097,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b3908,b1656,b1982,b4139,b3946,b0825,b1033,b1623,b0261,b2799,b3945,b1602,b0153,b4381,b0590,b2406,b2789,b3127,b1727,b0114,b0529,b1539,b2492,b0904,b2954,b3927,b1380,b2660,b3662,b2285,b1008,,,,,,,,
57,0.489164402357928,0.0383210985242196,b4467,b1478,b3399,b1241,b4069,b2744,b3708,b3115,b1849,b2296,b2926,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b2937,b3908,b1656,b1982,b4139,b2797,b3117,b1814,b4471,b2440,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b2799,b3945,b1602,b2913,b3915,b2975,b3603,b0509,b3125,b1539,b2492,b0904,b2954,b1533,b1380,b2240,b0508,b4141,b1798,b2285,b1011
