Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.47757434655223,0.202299219667389,b4382,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b2913,b0114,b2366,b0755,b3612,b0529,b2492,b0904,b1533,b3927,b3825,b0494,b3662,b2285,,,,,,,,,,,,,
30,0.779096550781551,0.178830186482029,b3399,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b2690,b1982,b2797,b3117,b1814,b4471,b2440,b4374,b0675,b2361,b2291,b0261,b3945,b2239,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,,,,,,,,,,,,,
30,0.597217395783801,0.893550695362555,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b1238,b2883,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,
31,0.64027350514239,0.271166543333906,b2836,b4382,b4069,b4384,b3708,b3752,b2297,b2458,b2925,b2097,b2407,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b0261,b0822,b2406,b1727,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,,,,,,,,,,,,
31,0.446648828220704,0.19443814557411,b4467,b3399,b4069,b2744,b2297,b2458,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b0675,b2361,b0261,b1602,b2913,b4381,b1727,b0114,b0529,b2492,b0904,b1380,b1771,b0606,b2285,,,,,,,,,,,,
31,0.770065343985967,0.176757205418624,b3399,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b1238,b1982,b2797,b3117,b1814,b4471,b3449,b3946,b0825,b0675,b2361,b0261,b4381,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b0494,,,,,,,,,,,,
31,0.490401448480777,0.112564459954046,b3399,b4382,b1241,b0351,b2502,b4384,b2744,b3708,b3008,b0871,b2779,b3617,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b0114,b0886,b0529,b1539,b2492,b0904,b1533,b3927,b3821,b2285,,,,,,,,,,,,
32,0.446648828220691,0.194438145570029,b4467,b3399,b4069,b2502,b2744,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b0261,b3945,b1602,b0153,b2913,b4381,b1727,b0114,b0584,b0529,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,,
33,0.401049310291496,0.620264868544641,b3553,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b4381,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1010,,,,,,,,,,
33,0.3825348971298,0.619458937639013,b4467,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b4381,b3915,b0452,b0529,b2492,b0904,b1380,b0606,b2285,b1010,b4209,,,,,,,,,,
33,0.381652849098478,0.469077494664507,b4467,b1478,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b3616,b3589,b0261,b0411,b3945,b1602,b4381,b0114,b0529,b2492,b0904,b1380,b2660,b0606,b2285,,,,,,,,,,
33,0.692872543507422,0.159038730225321,b4382,b0238,b0125,b4384,b2744,b3708,b3008,b3752,b0871,b2926,b2883,b1982,b0477,b2797,b3117,b1814,b4471,b0261,b2406,b2868,b4064,b4464,b0114,b0886,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,
33,0.630638692933166,0.14475386259769,b3399,b1241,b0351,b2744,b3708,b3008,b0871,b2925,b2097,b2926,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b3946,b0825,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b1533,b3927,b0494,,,,,,,,,,
33,0.497379612565006,0.110061368537695,b4467,b4269,b0493,b3588,b3003,b3011,b4384,b0871,b2926,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b1602,b2913,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b1771,b0606,b2285,b4209,,,,,,,,,,
35,0.736730095656112,0.31195814301076,b3399,b4069,b2502,b4384,b2744,b3708,b3115,b1849,b2296,b2925,b2097,b0030,b2883,b2690,b1982,b2797,b3117,b1814,b4471,b1623,b4374,b2361,b2291,b0261,b0411,b3945,b0452,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,,,,,,,,
36,0.393360240466662,0.636988987136925,b3553,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b1033,b0675,b2361,b0261,b2799,b3945,b1602,b2342,b3845,b4381,b3915,b0529,b1539,b2492,b0904,b1380,b2660,b0606,b2285,b1008,b4209,,,,,,,
36,0.459108344746913,0.0946643147842996,b4467,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b2779,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b4381,b1727,b0529,b2492,b0904,b3927,b1380,b0606,b2285,b1009,,,,,,,
38,0.40347739895037,0.632957489600591,b4467,b1478,b3399,b1241,b4069,b4384,b2744,b3115,b1849,b2296,b2926,b0160,b0030,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b1623,b4374,b2361,b2291,b0261,b0411,b2799,b3945,b1602,b3915,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1011,,,,,
40,0.395784559061286,0.6215023730705,b4467,b1478,b4382,b1241,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b0261,b0411,b2799,b1602,b2913,b3915,b0755,b3612,b0529,b2492,b0904,b1781,b3001,b1380,b0325,b1771,b0606,b0221,b2285,b1007,b4209,,,
42,0.478981812562043,0.0170607733493109,b4467,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0207,b3012,b1982,b0261,b0411,b2799,b1602,b2913,b3915,b1727,b0529,b2492,b0904,b1781,b3001,b3927,b1380,b0325,b1771,b0606,b2285,b1010,
42,0.396121917650284,0.621418536014782,b3553,b1478,b3399,b4382,b0474,b2518,b1241,b4069,b2502,b4384,b2744,b3752,b3115,b1849,b2296,b2926,b2781,b0099,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b1033,b1623,b0261,b2799,b3945,b1602,b2406,b3915,b0529,b2492,b0904,b2954,b1380,b2660,b0606,b2285,b1009,
43,0.419769025725954,0.249457398225894,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b2744,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0477,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0153,b2975,b3603,b0529,b2492,b0904,b0591,b1380,b2660,b0606,b2285,b1007
