Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.391624766593938,0.58647101159108,b3399,b0586,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1238,b2797,b3117,b1814,b4471,b3665,b0675,b2361,b3709,b4381,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b1539,b2492,b0904,b1533,b3821,b1473,b1511,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.391659357387426,0.586435080751326,b3399,b0586,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2407,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b4374,b0675,b2361,b2291,b0261,b3709,b3161,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.391776719041505,0.586172409261143,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b4014,b0261,b2976,b3709,b2406,b3161,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b0591,b1533,b3825,b1473,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.391776719041491,0.586172409263852,b3553,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b1033,b4014,b0261,b2976,b3709,b4381,b2406,b3161,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b1533,b3821,b1473,b0594,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.391774799864646,0.586169537808067,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4014,b0261,b2976,b0507,b3709,b4381,b2406,b3161,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b0591,b1533,b3821,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.39177479986466,0.58616953780768,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3617,b1982,b2797,b3117,b1814,b4471,b0595,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b0507,b3709,b3161,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,b1473,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.390422369805421,0.584582928110325,b4382,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b2883,b2797,b3117,b1814,b4471,b0261,b3709,b4381,b2406,b3161,b0112,b0452,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b3035,b1533,b1473,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.390541573733182,0.584308658393526,b2836,b3553,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b3844,b0583,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b0507,b3709,b3161,b0112,b0114,b2366,b2492,b0904,b1533,b1473,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.394731526441789,0.580264817425355,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4014,b0261,b2976,b0507,b3709,b4381,b2406,b3161,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b3035,b1533,b3821,b1473,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.751337433502112,0.103979540899205,b4384,b2744,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b3709,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3825,b1473,b0494,b0594,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.751550738435592,0.103504469559695,b3553,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b0160,b0583,b0121,b1982,b2797,b3117,b1814,b4471,b3449,b1033,b0675,b2361,b2291,b0261,b0507,b3709,b2406,b3161,b0112,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.751468056486619,0.103493082501343,b3399,b2502,b2744,b3708,b3008,b0871,b1982,b2797,b3117,b1814,b4471,b0596,b1623,b3665,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b3709,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b1600,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.747007292888009,0.102878740786695,b2836,b0586,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0507,b3709,b3161,b0112,b2975,b0114,b3603,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.751550738435568,0.103504469557927,b3553,b3399,b4384,b2744,b3708,b3008,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b0261,b0507,b3709,b3161,b0112,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b2835,b1473,b0494,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.74701133908254,0.102855214387368,b2836,b3553,b0586,b4384,b3708,b3008,b3752,b0871,b2407,b1238,b0121,b1982,b2797,b3117,b1814,b4471,b3449,b1033,b0261,b3709,b4381,b2239,b2406,b3161,b0112,b0114,b0886,b0509,b3125,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.317842765465121,0.475553167260169,b3553,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b1033,b3665,b0261,b3709,b4381,b2406,b3161,b0112,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b3821,b1473,b0594,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.391625281038306,0.586471781990481,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2797,b3117,b1814,b4471,b3616,b3589,b1623,b3665,b4374,b0675,b2361,b2291,b3709,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b0591,b1533,b3821,b1473,b1511,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.391776719041472,0.586172409262616,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b1033,b0675,b2361,b4014,b0261,b2976,b3709,b4381,b2406,b3161,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b1533,b3821,b1473,b0594,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.671140711452638,0.213858484345752,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b0583,b2797,b3117,b1814,b4471,b1623,b3665,b4374,b0675,b2361,b2291,b0411,b3709,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3825,b1473,b0494,b4141,b1798,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.671139200594386,0.213858002921661,b3399,b4382,b4069,b4384,b2744,b3708,b3008,b3115,b1849,b2296,b2407,b2797,b3117,b1814,b4471,b0596,b1623,b3665,b3709,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b2835,b1473,b0494,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.746796558836316,0.103351117449114,b2836,b3846,b2341,b4384,b2744,b3708,b3008,b0871,b2407,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b3709,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.747034049751675,0.102661341045752,b2836,b3399,b4382,b2502,b4384,b2744,b3708,b3008,b0871,b0583,b0121,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b0507,b3709,b2406,b3161,b0112,b3915,b2975,b0114,b3603,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b4141,b1798,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.391625281038333,0.586471781989524,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b2883,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0411,b3709,b4381,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b2835,b1473,b0494,b0594,b4141,b1798,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.390538479592865,0.584319767783052,b2836,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0595,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b0507,b3709,b3161,b0112,b0114,b2366,b2492,b0904,b1533,b1473,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.319871971197045,0.470219474602334,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b0583,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b0261,b1701,b1805,b0507,b3709,b4381,b2406,b3161,b0112,b2868,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b1473,b4141,b1798,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.396259992041405,0.331065765833689,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b2883,b2797,b3117,b1814,b4471,b3616,b3589,b3449,b1623,b3665,b0411,b3709,b4381,b2406,b3161,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b1473,b0594,b4141,b1798,b3662,b1518,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.390541573733182,0.584308658380375,b2836,b3553,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b3617,b3844,b1982,b2797,b3117,b1814,b4471,b1033,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b3709,b3161,b0112,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b1473,b0594,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.390538479592866,0.584319767781826,b3553,b3846,b2341,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b1033,b4014,b0261,b2976,b0507,b3709,b4381,b2406,b3161,b0112,b0452,b0114,b1539,b2492,b0904,b1533,b1473,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.668592984389983,0.212410654030405,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b3236,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b0507,b3709,b2406,b3161,b0112,b2975,b0114,b3603,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3825,b2965,b0693,b1473,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.313941001854191,0.469715387587154,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b3124,b3236,b1982,b2797,b3117,b1814,b4471,b2210,b0596,b0261,b3709,b2406,b3161,b0112,b2789,b3127,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,b1473,b0514,b0515,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.671432245206038,0.21331268144227,b3399,b4069,b2502,b2744,b3708,b3008,b3115,b1849,b2296,b0121,b1982,b2797,b3117,b1814,b4471,b0596,b4374,b0675,b2361,b2291,b4014,b0261,b2976,b0507,b3709,b3161,b0112,b2975,b0114,b3603,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b2835,b1473,b0494,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.669862378772669,0.0922542506367415,b3553,b4384,b3708,b3008,b0871,b2779,b0030,b2407,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b3709,b4381,b2406,b3161,b0112,b2789,b3127,b0114,b0886,b2366,b0755,b3612,b2492,b0904,b2578,b1533,b3927,b2835,b1473,b0494,b1600,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.747007292888016,0.102878740785494,b2836,b3553,b3399,b3846,b2341,b2744,b3708,b3008,b0871,b1238,b2883,b0120,b1982,b2797,b3117,b1814,b4471,b1033,b0675,b2361,b0261,b0507,b3709,b4381,b2406,b3161,b0112,b4064,b4464,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1473,b0594,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.34546913976049,0.516887472217849,b3553,b4382,b0586,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b4014,b0261,b2976,b3709,b2406,b3161,b0112,b2789,b3127,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3821,b1473,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
