Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.359606707775727,0.119928227154446,PHATRDRAFT_22993,PHATRDRAFT_41423,PHATRDRAFT_draft825,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_12902,PHATRDRAFT_54219,PHATRDRAFT_22913,PHATRDRAFT_55079,PHATRDRAFT_3969,PHATRDRAFT_draft1186,PHATRDRAFT_22122,PHATRDRAFT_draft1572,Phatr3_EG02251,PHATRDRAFT_29702,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_15140,PHATRDRAFT_20504,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_draft18,PHATRDRAFT_15536,,,,,,,,,,,,,,,,,,,,,
32,0.359606707775788,0.312801191175595,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_50577,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_8691,Phatr_9124,PHATRDRAFT_29157,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_15140,PHATRDRAFT_20504,PHATRDRAFT_11414,PHATRDRAFT_35566,PHATRDRAFT_39772,PHATRDRAFT_54355,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,,,,,,,,,,,,,,,,,
34,0.359606707775621,0.0282544271611869,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_draft976,PHATRDRAFT_12762,Phatr3_EG02232,PHATRDRAFT_draft1186,Phatr_9124,PHATRDRAFT_29016,PHATRDRAFT_29157,Phatr3_EG02251,PHATRDRAFT_29702,PHATRDRAFT_50742,Phatr3_EG02361,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_859,PHATRDRAFT_18940,PHATRDRAFT_15140,PHATRDRAFT_20504,PHATRDRAFT_11414,PHATRDRAFT_22117,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_15536,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_54528,,,,,,,,,,,,,,,,,,,
36,0.359606707775729,0.312801191175398,PHATRDRAFT_22993,PHATRDRAFT_41423,PHATRDRAFT_draft825,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_54219,PHATRDRAFT_22913,PHATRDRAFT_55079,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_48983,PHATRDRAFT_8691,PHATRDRAFT_34120,PHATRDRAFT_19244,PHATRDRAFT_38509,PHATRDRAFT_29157,PHATRDRAFT_36913,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_43194,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,PHATRDRAFT_11414,PHATRDRAFT_22117,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,,,,,,,,,,,,,,,,,
38,0.359606707775706,0.0547609540708436,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,Phatr3_EG02215,PHATRDRAFT_22913,PHATRDRAFT_55079,PHATRDRAFT_draft1186,PHATRDRAFT_34120,Phatr_9124,PHATRDRAFT_40430,PHATRDRAFT_22122,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_draft1572,Phatr3_EG02251,PHATRDRAFT_36913,PHATRDRAFT_28191,Phatr3_EG02361,PHATRDRAFT_42458,PHATRDRAFT_39711,PHATRDRAFT_43194,PHATRDRAFT_50971,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,PHATRDRAFT_11414,PHATRDRAFT_35566,PHATRDRAFT_42245,PHATRDRAFT_39772,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_45428,PHATRDRAFT_28181,PHATRDRAFT_15536,,,,,,,,,,,,,,,
42,0.359606707775735,0.00298634746695825,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_18337,PHATRDRAFT_16140,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_14762,PHATRDRAFT_22122,Phatr3_EG02251,PHATRDRAFT_36913,PHATRDRAFT_1769,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_49056,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_42245,PHATRDRAFT_39772,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_15536,,,,,,,,,,,
43,0.359606707775732,0.00298634746968673,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_18337,PHATRDRAFT_12762,PHATRDRAFT_16140,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_49372,PHATRDRAFT_8691,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_14762,PHATRDRAFT_22122,PHATRDRAFT_1769,PHATRDRAFT_29702,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_50097,PHATRDRAFT_49056,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_54355,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_12452,PHATRDRAFT_20445,Phatr3_EG02611,PHATRDRAFT_15536,,,,,,,,,,
45,0.359606707775731,0.0258314853210888,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12031,PHATRDRAFT_44906,PHATRDRAFT_12902,PHATRDRAFT_54219,PHATRDRAFT_22913,PHATRDRAFT_55079,PHATRDRAFT_3969,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_48983,PHATRDRAFT_8691,PHATRDRAFT_34120,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_29016,PHATRDRAFT_14762,PHATRDRAFT_29157,PHATRDRAFT_draft1572,PHATRDRAFT_29702,Phatr3_EG02361,PHATRDRAFT_42458,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_18940,PHATRDRAFT_11414,PHATRDRAFT_35566,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_47667,PHATRDRAFT_33266,PHATRDRAFT_47239,PHATRDRAFT_43697,PHATRDRAFT_49842,PHATRDRAFT_40433,PHATRDRAFT_28181,PHATRDRAFT_41686,,,,,,,,
45,0.35960670777578,0.00298634747025517,PHATRDRAFT_22993,PHATRDRAFT_41423,PHATRDRAFT_draft825,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_18337,PHATRDRAFT_16140,Phatr3_EG02232,PHATRDRAFT_3969,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_8691,PHATRDRAFT_draft1023,PHATRDRAFT_draft1645,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_38509,PHATRDRAFT_22122,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_49056,PHATRDRAFT_39711,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_48078,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_35566,PHATRDRAFT_21970,PHATRDRAFT_42245,PHATRDRAFT_51970,PHATRDRAFT_43697,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_15536,,,,,,,,
46,0.359606707775734,0.00283268696771566,PHATRDRAFT_26934,PHATRDRAFT_22993,PHATRDRAFT_41423,PHATRDRAFT_draft825,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_16140,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_49372,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_38509,PHATRDRAFT_29157,PHATRDRAFT_draft1572,PHATRDRAFT_36913,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02361,PHATRDRAFT_42458,PHATRDRAFT_50097,PHATRDRAFT_49056,PHATRDRAFT_20905,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_35566,PHATRDRAFT_19901,PHATRDRAFT_54355,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_12452,PHATRDRAFT_25572,Phatr3_EG02611,PHATRDRAFT_15536,,,,,,,
48,0.359606707775736,0.00283268696773575,PHATRDRAFT_26934,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_55192,PHATRDRAFT_12762,PHATRDRAFT_16140,PHATRDRAFT_22913,PHATRDRAFT_55079,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_48983,PHATRDRAFT_49372,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_40430,PHATRDRAFT_14762,PHATRDRAFT_22122,Phatr3_EG02251,PHATRDRAFT_28191,PHATRDRAFT_1769,PHATRDRAFT_29702,Phatr3_EG02361,PHATRDRAFT_42458,PHATRDRAFT_50097,PHATRDRAFT_49056,PHATRDRAFT_20905,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_48078,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_19901,PHATRDRAFT_51970,PHATRDRAFT_15777,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_15536,,,,,
50,0.359606707775727,0.0109232039176277,PHATRDRAFT_26934,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_12902,PHATRDRAFT_18337,PHATRDRAFT_22913,PHATRDRAFT_55079,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_49372,PHATRDRAFT_34120,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_29016,PHATRDRAFT_14762,PHATRDRAFT_38509,PHATRDRAFT_22122,PHATRDRAFT_draft1572,PHATRDRAFT_36913,PHATRDRAFT_28191,PHATRDRAFT_1769,Phatr3_EG02361,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_27166,PHATRDRAFT_45592,PHATRDRAFT_50097,PHATRDRAFT_49056,PHATRDRAFT_54493,PHATRDRAFT_43194,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_19901,PHATRDRAFT_51970,PHATRDRAFT_44482,PHATRDRAFT_43697,PHATRDRAFT_28181,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_54528,PHATRDRAFT_51245,,,
53,0.359606707775729,0.00298634747025517,PHATRDRAFT_32923,PHATRDRAFT_2793,PHATRDRAFT_31994,PHATRDRAFT_54082,PHATRDRAFT_800,PHATRDRAFT_42015,PHATRDRAFT_12902,PHATRDRAFT_18337,PHATRDRAFT_16140,Phatr3_EG02232,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_draft1023,PHATRDRAFT_draft1645,PHATRDRAFT_45017,Phatr_9124,PHATRDRAFT_40430,PHATRDRAFT_14762,PHATRDRAFT_38509,PHATRDRAFT_29157,Phatr3_EG02251,PHATRDRAFT_1155,PHATRDRAFT_draft348,PHATRDRAFT_13232,PHATRDRAFT_36913,PHATRDRAFT_28191,PHATRDRAFT_1769,PHATRDRAFT_50742,Phatr3_EG02361,PHATRDRAFT_49056,PHATRDRAFT_14356,PHATRDRAFT_39711,PHATRDRAFT_18323,PHATRDRAFT_29004,PHATRDRAFT_54493,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_50971,PHATRDRAFT_41969,PHATRDRAFT_859,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG01947,PHATRDRAFT_11414,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_43697,PHATRDRAFT_12452,Phatr3_EG02611,PHATRDRAFT_15536,PHATRDRAFT_46728
