Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.602601833655231,0.901606837499717,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,
28,0.604550679535767,0.967211261632351,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b2883,b1982,b3616,b3589,b1623,b3665,b4381,b2406,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,
28,0.602552489330601,0.901936719168418,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b4374,b2361,b2291,b0411,b0114,b2366,b2492,b0904,b1533,b3662,b1517,,,,,,,,,,,,,,
28,0.603912023663662,0.88776516867518,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b2883,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0411,b4381,b2406,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,
28,0.479420636104782,0.203366718084427,b4069,b4384,b3708,b3115,b1849,b2296,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b2440,b4381,b2406,b2868,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b1518,b2285,,,,,,,,,,,,,,
28,0.750651686830406,0.318420940773732,b3399,b4069,b2744,b3708,b3008,b3115,b1849,b2296,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b4381,b2868,b0114,b1539,b2492,b0904,b1533,b3927,b2835,b0494,b1511,,,,,,,,,,,,,,
29,0.780971457140643,0.133594822938536,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b3945,b4381,b0114,b2366,b2492,b0904,b1533,b3927,b3821,b2413,,,,,,,,,,,,,
29,0.498065742585839,0.114620201384325,b3399,b2502,b2744,b3708,b3008,b0871,b1779,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b4381,b2868,b0114,b0529,b1539,b2492,b0904,b2947,b1533,b3927,b3825,b0494,b1511,b2285,,,,,,,,,,,,,
30,0.433087030988251,0.818957831147578,b4467,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b1004,b3713,b1109,b0046,b3236,b2883,b1982,b0411,b4381,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b1511,b2285,,,,,,,,,,,,
30,0.687014696195823,0.158103150046869,b3399,b4382,b1241,b0351,b4384,b2744,b3708,b3008,b0871,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0675,b2361,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b3447,b1511,,,,,,,,,,,,
31,0.447759120180048,0.206904116330904,b4467,b4382,b4069,b4384,b3752,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b3945,b1602,b2406,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b2660,b3662,b1518,b0606,b2285,,,,,,,,,,,
31,0.447735706326934,0.206893297062141,b3553,b4069,b4384,b3752,b3926,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b1033,b0411,b3945,b1602,b4381,b0114,b0529,b2492,b0904,b1380,b2660,b1518,b0606,b2285,,,,,,,,,,,
31,0.644813188841635,0.148287345137094,b4384,b2744,b3708,b3008,b0871,b2779,b2925,b2097,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b4381,b2406,b0452,b2868,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b3927,b3662,b1517,,,,,,,,,,,
31,0.498957799618294,0.101769761275014,b3399,b4384,b2744,b3708,b3008,b0871,b2779,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b3665,b0411,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b2947,b1533,b3927,b3821,b3662,b1517,b2285,,,,,,,,,,,
