Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.474602246496474,1.07274132201974,b3553,b1241,b0351,b4069,b3926,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1771,b1517,b0606,b2285,b1007,,,,,,,,,,,,,,
28,0.468882904975767,0.136098655329937,b4467,b1241,b0351,b4069,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1779,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1695,b1771,b1518,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,
28,0.502940625483795,0.132870626417981,b3553,b1241,b0351,b3926,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b2342,b3845,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1771,b1511,b0606,b2285,b1009,b4209,,,,,,,,,,,,,,
28,0.407367294621755,0.109119847740335,b4467,b0474,b1241,b0351,b3926,b0871,b2779,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b0477,b2210,b3945,b1602,b2913,b0529,b2492,b0904,b1380,b0606,b0221,b2285,b4209,,,,,,,,,,,,,,
28,0.510530149940116,0.0399793607802446,b3553,b1241,b0351,b4069,b3926,b2297,b2458,b2926,b1004,b3713,b1109,b0046,b3236,b1033,b3945,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1007,b4209,,,,,,,,,,,,,,
28,0.55091829744372,0.0706453115818322,b3553,b1241,b0351,b3926,b2297,b2458,b2779,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b2690,b1302,b2662,b1033,b4015,b3945,b1602,b2913,b2223,b1539,b1380,b0606,b2285,,,,,,,,,,,,,,
28,0.510530149940156,0.0399793607861627,b3553,b1241,b0351,b4069,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1771,b1511,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,
28,0.440288681739483,0.0273866164411203,b4467,b1241,b0351,b4069,b3926,b2297,b2458,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b3945,b1602,b2913,b4381,b3915,b0452,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,
29,0.446267586787471,0.979557566857678,b3553,b0474,b1241,b0351,b4069,b3926,b3115,b1849,b2296,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b0477,b1033,b3945,b1602,b2492,b0904,b1380,b2660,b0606,b2285,,,,,,,,,,,,,
29,0.467819224833849,0.327884202630916,b3553,b1241,b0351,b4069,b3926,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1033,b1602,b2913,b4381,b0529,b2492,b0904,b1380,b1771,b1518,b0606,b2285,b1007,,,,,,,,,,,,,
29,0.544053753078577,0.132065987014773,b3553,b1241,b0351,b3926,b3115,b1849,b2296,b2779,b2925,b2097,b3617,b3844,b1004,b3713,b1109,b0046,b3236,b2690,b1302,b2662,b1033,b4015,b3945,b1602,b2913,b1380,b1695,b0606,b2285,,,,,,,,,,,,,
29,0.502956554876487,0.131634041026935,b2836,b3553,b4382,b1241,b0351,b4384,b3926,b0871,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1033,b0261,b3945,b1602,b3915,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1009,b4209,,,,,,,,,,,,,
29,0.467853307473604,0.324150994402488,b3553,b1241,b0351,b4069,b3926,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b3945,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1511,b0606,b2285,b1011,,,,,,,,,,,,,
30,0.448186335406841,1.55661777496855,b4467,b1241,b0351,b4384,b3926,b2930,b4232,b3697,b3925,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b2690,b0477,b2210,b3945,b1602,b2975,b3603,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,,
30,0.552565117542533,0.106367127404538,b4467,b1241,b0351,b3926,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1302,b2662,b3946,b0825,b4014,b2976,b1602,b0507,b2975,b3603,b1539,b1380,b2660,b1695,b1771,b0606,b2285,,,,,,,,,,,,
30,0.502041030859673,0.0595882539745656,b4467,b1241,b0351,b3831,b4384,b3926,b0871,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b2498,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b1518,b0606,b2285,b1009,,,,,,,,,,,,
30,0.467819224833851,0.327884202661721,b3553,b1241,b0351,b4069,b3926,b3115,b1849,b2296,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b3945,b1602,b0153,b4381,b0529,b2492,b0904,b3035,b1380,b2660,b1511,b0606,b2285,b1010,,,,,,,,,,,,
30,0.509597303163548,0.0563928021744814,b4467,b3399,b1241,b0351,b2502,b2744,b3926,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b4374,b2361,b2291,b3945,b1602,b3915,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1007,,,,,,,,,,,,
31,0.441840681723435,0.544174518372672,b4467,b3942,b1732,b1241,b0351,b3926,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b1779,b2690,b2463,b2210,b3551,b3945,b1602,b4219,b1832,b1778,b1539,b1380,b1710,b2480,b0606,b2285,b3893,b1474,,,,,,,,,,,
31,0.509573218700598,0.0592251473256089,b3553,b1241,b0351,b4384,b2744,b3926,b0871,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1033,b4374,b2361,b2291,b0261,b3945,b1602,b2913,b0529,b2492,b0904,b1380,b0606,b2285,b1009,,,,,,,,,,,
31,0.502080282502095,0.0555609571827148,b3553,b2066,b1241,b0351,b4384,b3926,b0871,b2297,b2458,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2498,b1033,b1602,b2913,b3915,b0529,b2492,b0904,b1380,b1771,b1517,b0606,b2285,b1011,,,,,,,,,,,
32,0.467817796786048,0.327883201776481,b4467,b4382,b0238,b0125,b0474,b1241,b0351,b4069,b4384,b3926,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b0477,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1010,,,,,,,,,,
32,0.463289251303792,0.322424069636165,b4467,b2066,b1241,b0351,b4069,b4384,b3926,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3236,b1779,b2498,b3945,b1602,b2913,b3915,b0529,b1539,b2492,b0904,b1380,b1518,b0606,b0221,b2285,b1008,b4209,,,,,,,,,,
32,0.446267586787471,0.979557566858235,b4467,b1241,b0351,b4069,b4384,b3926,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2690,b0477,b3945,b1602,b2913,b2975,b3603,b2492,b0904,b1380,b0606,b2285,,,,,,,,,,
32,0.43641709510353,3.74667949375375,b3553,b3942,b1732,b1241,b0351,b3926,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b2463,b3946,b2210,b0825,b1033,b3551,b1602,b4219,b1832,b1778,b2492,b0904,b1380,b1710,b2480,b1771,b0606,b2285,b4209,,,,,,,,,,
