Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.28401219774399,0.564413180393642,STM3747,STM0051,STM2421,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3968,STM3708,,,,,,,,,,,
15,0.284012197743991,0.564413180393657,STM3747,STM0051,STM2421,STM1749,STM2463,STM3680,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3968,,,,,,,,,,,
15,0.283965541245086,0.564320460633263,STM2927,STM3747,STM1749,STM2463,STM3680,STM4567,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM4559_S,,,,,,,,,,,
15,0.284539196570712,0.561223119541741,STM2421,STM1749,STM2463,STM2122,STM3680,STM2009,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3885,STM3793,STM3708,,,,,,,,,,,
15,0.284539196570712,0.561223119541736,STM2421,STM1749,STM2463,STM2122,STM3680,STM2009,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3885,STM3793,,,,,,,,,,,
15,0.28453919657071,0.561223119541749,STM0051,STM2421,STM1749,STM2463,STM0661,STM2122,STM3680,STM2009,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3708,,,,,,,,,,,
15,0.284451437380338,0.561050023928846,STM2927,STM1749,STM2463,STM3680,STM2009,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM2332,STM4559_S,,,,,,,,,,,
15,0.276504813502365,0.627404353096832,STM2927,STM2421,STM0413,STM1749,STM2463,STM4275,STM2009,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,STM3708,,,,,,,,,,,
15,0.282903520467455,0.57278542207423,STM2927,STM0413,STM1749,STM2463,STM3680,STM2009,STM4567,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM4559_S,,,,,,,,,,,
15,0.282903520467455,0.572785422074253,STM0051,STM2421,STM1749,STM2463,STM3680,STM2009,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM2422,STM3708,,,,,,,,,,,
15,0.283990495129473,0.564370051113376,STM2927,STM1463,STM3747,STM2421,STM0413,STM1749,STM2463,STM3680,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,,,,,,,,,,,
15,0.276526930167526,0.627454537004313,STM2927,STM2421,STM0413,STM1749,STM2463,STM4275,STM2009,STM4567,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,,,,,,,,,,,
15,0.278022782812619,0.593321470230867,STM2927,STM0413,STM1749,STM2463,STM3680,STM2009,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM3708,,,,,,,,,,,
15,0.282422893737712,0.576018154728796,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,STM2332,STM3708,STM4559_S,,,,,,,,,,,
16,0.270136528420866,0.660653457728834,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM3709,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,,,,,,,,,,
16,0.27013652842076,0.66065345772859,STM2927,STM3747,STM0413,STM1749,STM2463,STM4275,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM3708,,,,,,,,,,
16,0.27056565722217,0.657673683373603,STM2927,STM0413,STM1749,STM2463,STM4275,STM2009,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2332,STM3708,,,,,,,,,,
16,0.270565657222169,0.65767368337359,STM2927,STM0413,STM1749,STM2463,STM4275,STM2009,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM3708,,,,,,,,,,
16,0.274582162273123,0.641484339145743,STM3747,STM0051,STM2421,STM1749,STM2463,STM4275,STM4567,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,,,,,,,,,,
16,0.274582162273123,0.641484339145738,STM2927,STM3747,STM2421,STM1749,STM2463,STM4275,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,,,,,,,,,,
16,0.27458216227312,0.641484339145725,STM2927,STM3747,STM1749,STM2463,STM4275,STM4570,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,STM2332,STM3708,STM4559_S,,,,,,,,,,
16,0.274582162273123,0.641484339145739,STM3747,STM0051,STM2421,STM1749,STM2463,STM4275,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2422,,,,,,,,,,
