Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.780579152557987,0.0030473810279894,b3399,b0238,b0125,b4069,b2744,b3708,b3115,b1849,b2296,b2883,b0517,b0477,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0507,b0114,b2366,b2492,b0904,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.412560685894366,0.790937624807875,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b2779,b3617,b0030,b2883,b1779,b1982,b0261,b2913,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.516091389420303,0.507821196930018,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b2883,b1982,b3616,b3589,b1623,b2361,b2291,b0261,b0411,b0507,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.420517107036195,0.147052519498966,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2925,b2097,b2926,b3617,b2407,b2690,b2388,b1982,b3665,b3565,b0261,b3945,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.711142258752179,0.109862396318708,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2688,b2797,b3117,b1814,b4471,b2440,b0596,b4374,b0675,b2361,b2291,b0261,b0507,b0114,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.623112365886477,0.00173536796048065,b3399,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b4374,b0675,b2361,b2291,b0261,b1701,b1805,b0114,b0886,b2366,b0529,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.478097234057355,0.916580526520011,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b2883,b1982,b0477,b3616,b3589,b4374,b2361,b2291,b0261,b0507,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.607037573279855,0.233872390909159,b2836,b0586,b3831,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2779,b2925,b2097,b2407,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.766483529695443,0.155879244475646,b3399,b4382,b2502,b2744,b3708,b3008,b0871,b3124,b0120,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b0514,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.489686254606537,0.0642495648298473,b3553,b3399,b4069,b2744,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b1033,b0675,b2361,b0261,b1602,b4381,b1727,b0114,b0509,b3125,b0755,b3612,b0529,b2492,b0904,b3029,b1380,b2660,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
